word_id	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_conj_id
45383			подли'зывай	подли'зывайте	подли'зывал	подли'зывала	подли'зывало	подли'зывали	11553
45384			по'дличай	по'дличайте	по'дличал	по'дличала	по'дличало	по'дличали	11554
45390			подма'зывай	подма'зывайте	подма'зывал	подма'зывала	подма'зывало	подма'зывали	11555
45391			подма'зывайся	подма'зывайтесь	подма'зывался	подма'зывалась	подма'зывалось	подма'зывались	11556
45394			подма'нивай	подма'нивайте	подма'нивал	подма'нивала	подма'нивало	подма'нивали	11558
45395			подма'сливай	подма'сливайте	подма'сливал	подма'сливала	подма'сливало	подма'сливали	11559
45396			подма'хивай	подма'хивайте	подма'хивал	подма'хивала	подма'хивало	подма'хивали	11560
45397	imperfective	подмочить	подма'чивай	подма'чивайте	подма'чивал	подма'чивала	подма'чивало	подма'чивали	11561
45399	imperfective	подметать							13908
45400			подме'шивай	подме'шивайте	подме'шивал	подме'шивала	подме'шивало	подме'шивали	11562
45413			подновля'й	подновля'йте	подновля'л	подновля'ла	подновля'ло	подновля'ли	11563
45416			подны'ривай	подны'ривайте	подны'ривал	подны'ривала	подны'ривало	подны'ривали	11564
45424	imperfective	пододвинуть	пододвига'й	пододвига'йте	пододвига'л	пододвига'ла	пододвига'ло	пододвига'ли	11565
45425			пододвига'йся	пододвига'йтесь	пододвига'лся	пододвига'лась	пододвига'лось	пододвига'лись	11566
45428			подопрева'й	подопрева'йте	подопрева'л	подопрева'ла	подопрева'ло	подопрева'ли	11567
45435	imperfective	подпалить	подпа'ливай	подпа'ливайте	подпа'ливал	подпа'ливала	подпа'ливало	подпа'ливали	11568
45436			подпа'рывай	подпа'рывайте	подпа'рывал	подпа'рывала	подпа'рывало	подпа'рывали	11569
45437			подпа'рывайся	подпа'рывайтесь	подпа'рывался	подпа'рывалась	подпа'рывалось	подпа'рывались	11570
45439	imperfective	подпилить	подпи'ливай	подпи'ливайте	подпи'ливал	подпи'ливала	подпи'ливало	подпи'ливали	11571
45446	imperfective	подпоясать	подпоя'сывай	подпоя'сывайте	подпоя'сывал	подпоя'сывала	подпоя'сывало	подпоя'сывали	11572
45448	imperfective	подравнять	подра'внивай	подра'внивайте	подра'внивал	подра'внивала	подра'внивало	подра'внивали	11573
45454	imperfective	подразделить	подразделя'й	подразделя'йте	подразделя'л	подразделя'ла	подразделя'ло	подразделя'ли	11574
45456			подра'нивай	подра'нивайте	подра'нивал	подра'нивала	подра'нивало	подра'нивали	11575
45459			подремонти'руй	подремонти'руйте	подремонти'ровал	подремонти'ровала	подремонти'ровало	подремонти'ровали	11576
45460			подрисо'вывай	подрисо'вывайте	подрисо'вывал	подрисо'вывала	подрисо'вывало	подрисо'вывали	11577
45462	imperfective	подрубить	подруба'й	подруба'йте	подруба'л	подруба'ла	подруба'ло	подруба'ли	11578
45464			подрумя'нивай	подрумя'нивайте	подрумя'нивал	подрумя'нивала	подрумя'нивало	подрумя'нивали	11579
45466	imperfective	подорваться	подрыва'йся	подрыва'йтесь	подрыва'лся	подрыва'лась	подрыва'лось	подрыва'лись	11580
45468			подряжа'й	подряжа'йте	подряжа'л	подряжа'ла	подряжа'ло	подряжа'ли	11581
45469			подряжа'йся	подряжа'йтесь	подряжа'лся	подряжа'лась	подряжа'лось	подряжа'лись	11582
45471	imperfective	подсесть	подса'живайся	подса'живайтесь	подса'живался	подса'живалась	подса'живалось	подса'живались	11583
45472			подса'ливай	подса'ливайте	подса'ливал	подса'ливала	подса'ливало	подса'ливали	11584
45473			подса'хари	подса'харьте	подса'харил	подса'харила	подса'харило	подса'харили	11585
45476			подсви'стывай	подсви'стывайте	подсви'стывал	подсви'стывала	подсви'стывало	подсви'стывали	11586
45480	imperfective	подсечь	подсека'й	подсека'йте	подсека'л	подсека'ла	подсека'ло	подсека'ли	11587
45484	imperfective	-	подси'живай	подси'живайте	подси'живал	подси'живала	подси'живало	подси'живали	11588
45485			подси'нивай	подси'нивайте	подси'нивал	подси'нивала	подси'нивало	подси'нивали	11589
45486			подска'бливай	подска'бливайте	подска'бливал	подска'бливала	подска'бливало	подска'бливали	11590
45489			подскреба'й	подскреба'йте	подскреба'л	подскреба'ла	подскреба'ло	подскреба'ли	11591
45490	imperfective	подсластить	подсла'щивай	подсла'щивайте	подсла'щивал	подсла'щивала	подсла'щивало	подсла'щивали	11592
45491	imperfective	подслужиться	подслу'живайся	подслу'живайтесь	подслу'живался	подслу'живалась	подслу'живалось	подслу'живались	11593
45496	imperfective	подстегну́ть							14019
45497	imperfective	подстелить	подстила'й	подстила'йте	подстила'л	подстила'ла	подстила'ло	подстила'ли	11594
45498	imperfective	подстроить	подстра'ивай	подстра'ивайте	подстра'ивал	подстра'ивала	подстра'ивало	подстра'ивали	10512
45503			подстре'ливай	подстре'ливайте	подстре'ливал	подстре'ливала	подстре'ливало	подстре'ливали	11595
45504	imperfective	подстричь	подстрига'й	подстрига'йте	подстрига'л	подстрига'ла	подстрига'ло	подстрига'ли	11596
45505			подстрига'йся	подстрига'йтесь	подстрига'лся	подстрига'лась	подстрига'лось	подстрига'лись	11597
45509			подсу'живай	подсу'живайте	подсу'живал	подсу'живала	подсу'живало	подсу'живали	11598
45510	imperfective	подсушить	подсу'шивай	подсу'шивайте	подсу'шивал	подсу'шивала	подсу'шивало	подсу'шивали	11600
45511			подсу'шивайся	подсу'шивайтесь	подсу'шивался	подсу'шивалась	подсу'шивалось	подсу'шивались	11601
45512			подта'пливай	подта'пливайте	подта'пливал	подта'пливала	подта'пливало	подта'пливали	11602
45514	imperfective	подтасовать	подтасо'вывай	подтасо'вывайте	подтасо'вывал	подтасо'вывала	подтасо'вывало	подтасо'вывали	11604
45515	perfective	подтечь	подтека'й	подтека'йте	подтека'л	подтека'ла	подтека'ло	подтека'ли	11605
45517			подтира'й	подтира'йте	подтира'л	подтира'ла	подтира'ло	подтира'ли	11606
45519		подтыка'ть	подты'кай	подты'кайте	подты'кал	подты'кала	подты'кало	подты'кали	11607
45522			подура'чься	подура'чьтесь	подура'чился	подура'чилась	подура'чилось	подура'чились	11609
45523			поду'ськивай	поду'ськивайте	поду'ськивал	поду'ськивала	поду'ськивало	поду'ськивали	11610
45524			подуши'	подуши'те	подуши'л	подуши'ла	подуши'ло	подуши'ли	11611
45525			подуши'сь	подуши'тесь	подуши'лся	подуши'лась	подуши'лось	подуши'лись	11612
45527			подхали'мничай	подхали'мничайте	подхали'мничал	подхали'мничала	подхали'мничало	подхали'мничали	11613
45529			подхихи'кивай	подхихи'кивайте	подхихи'кивал	подхихи'кивала	подхихи'кивало	подхихи'кивали	11614
45530	imperfective	подцепить	подцепля'й	подцепля'йте	подцепля'л	подцепля'ла	подцепля'ло	подцепля'ли	11615
45531			подча'ливай	подча'ливайте	подча'ливал	подча'ливала	подча'ливало	подча'ливали	11616
45535			подчерни'	подчерни'те	подчерни'л	подчерни'ла	подчерни'ло	подчерни'ли	11617
45540	imperfective	подчистить	подчища'й	подчища'йте	подчища'л	подчища'ла	подчища'ло	подчища'ли	11618
